step,loss,nll,kl,kl_weight,gradient_norm,optimizer_step_skipped,amp_scale_before,amp_scale_after,batch_sampling_attempts,batch_sampling_seconds,batch_collation_seconds,batch_transfer_seconds,batch_cells,batch_current_cycles,batch_betas,context_points_min,context_points_max,target_points_min,target_points_max,target_soh_raw_min,target_soh_raw_max,target_normalized_min,target_normalized_max,prediction_mean_min,prediction_mean_max,prediction_std_min,prediction_std_max,prior_std_min,prior_std_max,posterior_std_min,posterior_std_max,iv_observed_fraction_mean,gpu_allocated_mb,gpu_reserved_mb,learning_rate,validation_rmse,elapsed_seconds,validation_cell_rmse,nonfinite_gradient_parameters
1,2.1207668781280518,2.1207375526428223,0.14693579077720642,0.0002,4.4223856925964355,False,1024.0,1024.0,64,0.007742120884358883,0.0011891340836882591,0.00017433613538742065,CALCE_CS2_34|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_35|CALCE_CX2_35|CALCE_CX2_34|CALCE_CS2_34|CALCE_CX2_37|CALCE_CX2_34|CALCE_CX2_34|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_34|CALCE_CS2_36|CALCE_CX2_35|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_36|CALCE_CX2_36|CALCE_CX2_16|CALCE_CX2_16|CALCE_CX2_35|CALCE_CX2_35|CALCE_CS2_36|CALCE_CS2_34|CALCE_CX2_35|CALCE_CX2_16|CALCE_CX2_36|CALCE_CX2_35|CALCE_CX2_34|CALCE_CS2_36|CALCE_CS2_36|CALCE_CS2_35|CALCE_CX2_16|CALCE_CS2_34|CALCE_CX2_35|CALCE_CS2_36|CALCE_CX2_16|CALCE_CS2_35|CALCE_CS2_36|CALCE_CX2_16|CALCE_CX2_37|CALCE_CS2_36|CALCE_CX2_34|CALCE_CX2_35|CALCE_CX2_16|CALCE_CX2_34|CALCE_CX2_36|CALCE_CS2_34|CALCE_CX2_36|CALCE_CS2_35|CALCE_CS2_34|CALCE_CX2_35|CALCE_CX2_36|CALCE_CS2_34|CALCE_CS2_34|CALCE_CX2_36|CALCE_CX2_37|CALCE_CX2_34|CALCE_CS2_36|CALCE_CX2_36|CALCE_CX2_36|CALCE_CS2_36|CALCE_CS2_35,420|274|460|493|380|913|247|576|1049|607|530|826|691|404|948|273|462|678|383|429|817|369|381|175|141|998|582|974|821|562|240|529|549|797|234|839|353|560|314|191|274|358|264|784|836|581|599|915|150|671|365|374|673|431|147|447|637|652|291|405|467|339|457|523,0.75|0.75|0.75|0|0.25|1|0.75|0|0|0.5|1|0.25|0.25|0|0.5|0.25|0.75|0.25|0.75|0|0.5|1|1|1|1|1|0.75|1|0.25|0|0.25|1|0|0.75|1|0|0.75|0.75|0.5|0.75|0|0.25|0.25|0.75|0.25|0.75|0.5|0.75|0.5|0.75|0|0.25|1|0.5|0.5|0.75|0.25|0.5|0.75|0|0.75|1|0.25|0.25,11,126,128,128,0.1477539087091628,0.9730660306896746,-4.278895378112793,1.2636364698410034,-0.147705078125,0.014801025390625,0.6562580466270447,0.7097005248069763,0.5582491755485535,0.7901514768600464,0.5639026761054993,0.841570258140564,0.5128173828125,65.20703125,518.0,0.0001,,0.2912346771918237,,
2,2.2634835243225098,2.2634191513061523,0.16073033213615417,0.0004,5.231044769287109,False,1024.0,1024.0,64,0.006999670993536711,0.0013212221674621105,0.00017581786960363388,CALCE_CX2_36|CALCE_CS2_35|CALCE_CX2_16|CALCE_CX2_36|CALCE_CX2_16|CALCE_CS2_34|CALCE_CX2_37|CALCE_CX2_34|CALCE_CS2_34|CALCE_CX2_16|CALCE_CS2_35|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_34|CALCE_CX2_36|CALCE_CS2_34|CALCE_CX2_35|CALCE_CX2_16|CALCE_CX2_16|CALCE_CX2_36|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_36|CALCE_CX2_16|CALCE_CS2_36|CALCE_CS2_35|CALCE_CX2_35|CALCE_CS2_34|CALCE_CX2_34|CALCE_CS2_36|CALCE_CX2_34|CALCE_CX2_36|CALCE_CS2_36|CALCE_CS2_35|CALCE_CX2_37|CALCE_CX2_16|CALCE_CX2_37|CALCE_CX2_37|CALCE_CX2_16|CALCE_CS2_36|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_35|CALCE_CS2_36|CALCE_CS2_36|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_16|CALCE_CS2_36|CALCE_CX2_36|CALCE_CX2_36|CALCE_CX2_37|CALCE_CX2_34|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_34|CALCE_CX2_34|CALCE_CX2_36|CALCE_CX2_34|CALCE_CX2_36,1130|390|758|532|784|271|643|950|465|900|534|713|444|605|614|324|915|976|989|784|835|295|475|528|1052|906|234|553|650|199|834|653|1016|707|518|332|699|297|355|671|287|555|467|385|315|394|307|394|570|612|166|585|863|466|939|587|546|426|351|333|985|371|815|1104,0.5|0.75|0.25|0.5|0.25|0.75|0.25|0|0.5|1|0.25|0.75|1|0.5|0.75|1|0.75|0|1|0.25|0.75|0|0.75|0.75|0|0.75|0.25|0.25|1|0|0|0.5|0.25|0.25|0.75|0.5|0|0.75|1|0.5|0.5|0|1|1|0|0.25|1|0|0.5|1|1|0.75|0.75|1|0|0.5|0|0.75|0.25|0.5|0.25|0.25|0.25|0,9,127,128,128,0.1477539087091628,0.9559450656712962,-4.278895378112793,1.1486575603485107,-0.13134765625,-0.002361297607421875,0.6620559096336365,0.7309958338737488,0.5579363703727722,0.7935540080070496,0.5629575252532959,0.8493661284446716,0.48541259765625,65.9443359375,520.0,0.0001,,0.3459810190834105,,
3,1.8665878772735596,1.8665075302124023,0.13384993374347687,0.0006,3.5817227363586426,False,1024.0,1024.0,64,0.006869418080896139,0.0009146910160779953,0.00014097383245825768,CALCE_CS2_36|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_16|CALCE_CX2_16|CALCE_CX2_36|CALCE_CX2_16|CALCE_CX2_16|CALCE_CX2_37|CALCE_CX2_34|CALCE_CX2_16|CALCE_CX2_34|CALCE_CX2_35|CALCE_CX2_34|CALCE_CX2_37|CALCE_CS2_34|CALCE_CX2_36|CALCE_CX2_37|CALCE_CS2_34|CALCE_CX2_36|CALCE_CX2_37|CALCE_CX2_16|CALCE_CX2_16|CALCE_CS2_36|CALCE_CX2_35|CALCE_CX2_34|CALCE_CX2_37|CALCE_CS2_34|CALCE_CX2_37|CALCE_CX2_34|CALCE_CX2_16|CALCE_CX2_36|CALCE_CS2_34|CALCE_CX2_34|CALCE_CS2_34|CALCE_CX2_34|CALCE_CS2_34|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_34|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_35|CALCE_CX2_37|CALCE_CX2_34|CALCE_CS2_36|CALCE_CS2_36|CALCE_CS2_36|CALCE_CX2_34|CALCE_CS2_35|CALCE_CS2_35|CALCE_CX2_36|CALCE_CS2_34|CALCE_CS2_35|CALCE_CS2_35|CALCE_CS2_35|CALCE_CX2_34|CALCE_CX2_35|CALCE_CX2_37|CALCE_CX2_37|CALCE_CX2_16|CALCE_CS2_34|CALCE_CS2_36|CALCE_CX2_36,255|666|617|543|680|353|489|307|518|855|592|892|566|1086|516|293|646|664|350|588|770|642|436|185|1105|658|427|183|820|464|314|802|231|285|380|1056|259|801|555|666|223|681|529|578|851|516|255|426|869|265|377|1062|156|301|418|364|347|378|604|685|466|289|240|510,0|1|0.75|0.25|0.25|1|0.75|0.25|0.5|0|0.25|0.5|0|0.75|0.25|1|0|0|0.75|0.75|0.5|1|0.25|0.75|1|0.75|0.25|0.75|0.75|0.25|0|0|1|1|1|0.25|0.25|0.25|0.75|0.5|0.25|0.5|0.25|0.25|0.5|0.75|0.25|0.5|0.5|0.5|1|0.25|1|0|1|0|0.75|0.75|0.5|0.5|1|0|0.25|1,11,128,128,128,0.1477539087091628,0.9686857413521746,-4.278895378112793,1.2342199087142944,-0.1795654296875,-0.0189208984375,0.6687666177749634,0.7294790744781494,0.5578320622444153,0.7912178635597229,0.5629575252532959,0.8514620661735535,0.501953125,65.9443359375,522.0,0.0001,,0.3652856443077326,,
4,2.238879442214966,2.2387619018554688,0.14706078171730042,0.0008,4.5050578117370605,False,1024.0,1024.0,64,0.006897910963743925,0.000873893965035677,0.00013754796236753464,CALCE_CS2_35|CALCE_CX2_16|CALCE_CX2_16|CALCE_CS2_36|CALCE_CS2_35|CALCE_CX2_37|CALCE_CS2_34|CALCE_CS2_36|CALCE_CX2_37|CALCE_CS2_36|CALCE_CS2_35|CALCE_CS2_34|CALCE_CX2_35|CALCE_CS2_36|CALCE_CS2_34|CALCE_CX2_16|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_35|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_37|CALCE_CS2_35|CALCE_CS2_34|CALCE_CX2_16|CALCE_CS2_36|CALCE_CS2_34|CALCE_CX2_34|CALCE_CS2_34|CALCE_CX2_16|CALCE_CX2_35|CALCE_CX2_36|CALCE_CX2_16|CALCE_CS2_34|CALCE_CS2_35|CALCE_CS2_36|CALCE_CS2_34|CALCE_CS2_35|CALCE_CS2_36|CALCE_CS2_36|CALCE_CX2_16|CALCE_CS2_36|CALCE_CS2_34|CALCE_CX2_34|CALCE_CX2_37|CALCE_CX2_37|CALCE_CX2_16|CALCE_CX2_37|CALCE_CS2_36|CALCE_CX2_37|CALCE_CX2_36|CALCE_CX2_35|CALCE_CS2_35|CALCE_CX2_16|CALCE_CS2_35|CALCE_CS2_34|CALCE_CX2_35|CALCE_CX2_35|CALCE_CS2_35|CALCE_CX2_16|CALCE_CS2_35|CALCE_CS2_36|CALCE_CX2_16|CALCE_CS2_35,577|654|813|406|499|733|471|443|731|634|617|258|397|256|376|530|748|475|885|769|631|853|230|440|362|218|359|810|267|699|527|670|987|428|435|546|281|439|187|539|592|247|350|586|472|416|868|287|614|825|1231|848|345|341|356|394|575|546|431|265|337|367|258|203,0.5|0.25|0|0.5|0|0|0.25|0.25|1|0.25|0.75|0.75|0|0.75|0|1|1|0.75|0.25|0.5|0|0|0.5|0.5|0.25|0.75|0.25|0|0.25|0|0.25|0|0|0|0.75|0.25|0.5|1|0.25|0.75|0.25|0.25|0.5|0.25|0.25|0.25|0|0.25|0|1|0|0|0.25|0|1|1|0|0.75|0|0.75|0.75|0.25|0|0,11,126,128,128,0.1477539087091628,0.9522424459062601,-4.278895378112793,1.1237919330596924,-0.1890869140625,-0.013641357421875,0.6618197560310364,0.7412262558937073,0.5582491755485535,0.7905512452125549,0.5632724761962891,0.8331305384635925,0.3470458984375,65.943359375,522.0,0.0001,,0.38405790412798524,,
5,2.0330793857574463,2.0329232215881348,0.1561422049999237,0.001,4.054500102996826,False,1024.0,1024.0,64,0.007245291024446487,0.001196838915348053,0.00013943109661340714,CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_36|CALCE_CX2_16|CALCE_CX2_16|CALCE_CX2_35|CALCE_CS2_35|CALCE_CX2_36|CALCE_CX2_35|CALCE_CX2_37|CALCE_CS2_34|CALCE_CS2_36|CALCE_CX2_35|CALCE_CX2_35|CALCE_CS2_36|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_35|CALCE_CS2_35|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_34|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_36|CALCE_CX2_34|CALCE_CX2_35|CALCE_CS2_35|CALCE_CX2_35|CALCE_CS2_36|CALCE_CX2_35|CALCE_CX2_16|CALCE_CX2_36|CALCE_CS2_35|CALCE_CX2_36|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_16|CALCE_CX2_36|CALCE_CS2_34|CALCE_CS2_34|CALCE_CX2_34|CALCE_CS2_36|CALCE_CX2_35|CALCE_CS2_36|CALCE_CS2_36|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_34|CALCE_CS2_34|CALCE_CS2_35|CALCE_CS2_36|CALCE_CX2_16|CALCE_CS2_34|CALCE_CX2_36|CALCE_CS2_34|CALCE_CS2_35|CALCE_CX2_37|CALCE_CX2_34|CALCE_CX2_37|CALCE_CS2_36|CALCE_CS2_35,458|381|815|634|628|544|412|668|782|529|462|425|804|1121|218|621|1086|906|163|805|1062|384|582|545|652|230|316|959|1055|164|1092|532|736|407|815|591|534|445|232|700|543|261|169|693|357|964|347|310|427|385|834|388|538|292|568|473|1135|280|313|358|516|505|463|224,0.25|0|0.75|0.75|1|1|0.5|0.5|0.25|1|0|0|0|0.25|0.25|0.75|0.5|0|0.75|0.25|0.25|0|0|0|0.5|0|1|0.75|0.25|0.25|0.5|1|0.75|0.25|0.25|0.5|0.5|0|1|0.75|0.25|0.25|0.25|0.25|1|1|0.5|0.25|0.5|0|0|0.25|0.25|1|0|0.25|0.25|0.25|0|0.5|0.25|0.25|0.25|1,8,128,128,128,0.1477539087091628,0.9683771631214407,-4.278895378112793,1.2321475744247437,-0.208984375,-0.040679931640625,0.6778484582901001,0.7365438938140869,0.5578320622444153,0.7879549860954285,0.5639026761054993,0.8387970924377441,0.40032958984375,65.9443359375,522.0,0.0001,,0.4032522332854569,,
6,2.1595025062561035,2.1592729091644287,0.19126662611961365,0.0012,4.689033031463623,False,1024.0,1024.0,64,0.006963863968849182,0.0008662310428917408,0.00013257795944809914,CALCE_CX2_16|CALCE_CX2_35|CALCE_CX2_37|CALCE_CX2_34|CALCE_CX2_36|CALCE_CS2_34|CALCE_CS2_34|CALCE_CS2_36|CALCE_CX2_34|CALCE_CX2_34|CALCE_CX2_35|CALCE_CS2_35|CALCE_CX2_16|CALCE_CX2_36|CALCE_CS2_34|CALCE_CS2_34|CALCE_CS2_36|CALCE_CX2_37|CALCE_CX2_16|CALCE_CS2_35|CALCE_CX2_37|CALCE_CS2_34|CALCE_CX2_36|CALCE_CX2_36|CALCE_CS2_36|CALCE_CS2_36|CALCE_CS2_36|CALCE_CX2_36|CALCE_CX2_36|CALCE_CX2_16|CALCE_CX2_34|CALCE_CX2_34|CALCE_CS2_36|CALCE_CX2_16|CALCE_CS2_34|CALCE_CX2_36|CALCE_CX2_35|CALCE_CS2_34|CALCE_CX2_34|CALCE_CX2_37|CALCE_CS2_34|CALCE_CX2_36|CALCE_CX2_34|CALCE_CX2_35|CALCE_CX2_34|CALCE_CS2_36|CALCE_CX2_16|CALCE_CS2_34|CALCE_CX2_36|CALCE_CS2_35|CALCE_CS2_36|CALCE_CX2_34|CALCE_CX2_36|CALCE_CX2_16|CALCE_CS2_34|CALCE_CS2_34|CALCE_CS2_34|CALCE_CS2_34|CALCE_CS2_34|CALCE_CX2_37|CALCE_CX2_36|CALCE_CX2_16|CALCE_CX2_36|CALCE_CX2_35,475|877|496|890|702|319|407|435|1007|367|654|554|955|909|319|282|635|616|920|188|299|450|1199|687|610|636|579|1243|501|327|1015|922|180|992|249|1157|1087|490|822|537|333|1025|393|973|799|493|344|419|937|218|298|1053|677|522|314|279|451|188|403|586|814|319|696|886,1|1|1|0.5|0.5|0.75|0.5|0.25|0.5|0|0|0.25|0.5|1|0.25|0.75|0.5|0.25|1|0|0.75|0.25|1|1|1|0|1|0|0.75|0.75|0.25|1|0.25|0.75|1|0.25|0.5|0.25|0|0|0.5|0|0.5|0.5|0.75|0|0.75|0.25|0.75|0.25|0.75|0|0.5|0|0.5|0.25|1|1|0.25|0.5|0.75|0.75|0.25|0.25,11,127,128,128,0.1477539087091628,0.956204682374799,-4.278895378112793,1.1504011154174805,-0.214599609375,-0.064453125,0.6642135977745056,0.7425677180290222,0.558562159538269,0.7938880920410156,0.5639026761054993,0.8489473462104797,0.48663330078125,65.9443359375,522.0,0.0001,,0.42138724122196436,,
7,1.883392095565796,1.883166790008545,0.16097450256347656,0.0014,3.7719714641571045,False,1024.0,1024.0,64,0.0068173701874911785,0.0011854982003569603,0.0001392597332596779,CALCE_CX2_35|CALCE_CX2_35|CALCE_CX2_34|CALCE_CX2_36|CALCE_CX2_37|CALCE_CS2_35|CALCE_CS2_36|CALCE_CX2_35|CALCE_CX2_34|CALCE_CX2_16|CALCE_CS2_34|CALCE_CS2_34|CALCE_CX2_34|CALCE_CX2_36|CALCE_CS2_34|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_36|CALCE_CS2_34|CALCE_CX2_37|CALCE_CX2_37|CALCE_CX2_35|CALCE_CS2_34|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_37|CALCE_CS2_35|CALCE_CS2_36|CALCE_CX2_16|CALCE_CX2_37|CALCE_CS2_35|CALCE_CS2_35|CALCE_CS2_36|CALCE_CX2_35|CALCE_CX2_37|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_37|CALCE_CS2_34|CALCE_CX2_36|CALCE_CS2_36|CALCE_CS2_34|CALCE_CX2_35|CALCE_CX2_34|CALCE_CX2_35|CALCE_CS2_35|CALCE_CX2_16|CALCE_CX2_35|CALCE_CS2_36|CALCE_CX2_34|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_37|CALCE_CX2_34|CALCE_CX2_34|CALCE_CX2_34|CALCE_CX2_16|CALCE_CX2_36|CALCE_CS2_35|CALCE_CX2_36|CALCE_CX2_36|CALCE_CX2_37,715|1031|304|387|227|575|325|623|883|898|220|231|887|756|192|516|243|390|378|668|367|843|337|754|326|597|1112|530|379|452|357|556|313|620|193|1034|609|814|607|847|266|600|192|234|883|625|880|609|576|346|420|1006|1088|367|765|360|591|469|754|449|513|930|975|501,0.25|0.5|0|1|1|0|0.25|0.25|1|0|0|0|0.75|0.75|0.5|0|0|0.5|0.75|0.5|1|0.75|0|0|0.25|0.75|0.5|0|0|0.5|0.25|0.75|0.5|1|0.5|0.75|0.25|0|1|1|0.75|0.75|0.75|0.5|0.5|0.75|0|0.75|0|0.75|0|0.25|0|0.5|0.75|0.5|0|0.5|0.75|0|0.75|0.25|1|1,12,128,128,128,0.1477539087091628,0.956204682374799,-4.278895378112793,1.1504011154174805,-0.2225341796875,-0.0870361328125,0.6723412871360779,0.7405561208724976,0.5591884851455688,0.7813233733177185,0.5654807090759277,0.841292679309845,0.44512939453125,65.9443359375,522.0,0.0001,,0.43982038740068674,,
8,2.3491861820220947,2.3488874435424805,0.18673530220985413,0.0016,4.835351943969727,False,1024.0,1024.0,64,0.006583673879504204,0.0008433768525719643,0.00012939190492033958,CALCE_CX2_37|CALCE_CS2_35|CALCE_CS2_36|CALCE_CX2_16|CALCE_CS2_34|CALCE_CS2_36|CALCE_CX2_36|CALCE_CS2_34|CALCE_CX2_36|CALCE_CX2_16|CALCE_CX2_34|CALCE_CS2_34|CALCE_CX2_16|CALCE_CS2_34|CALCE_CX2_16|CALCE_CS2_36|CALCE_CS2_34|CALCE_CX2_34|CALCE_CS2_36|CALCE_CS2_34|CALCE_CS2_35|CALCE_CX2_36|CALCE_CX2_37|CALCE_CS2_36|CALCE_CX2_34|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_37|CALCE_CX2_36|CALCE_CX2_16|CALCE_CX2_16|CALCE_CS2_36|CALCE_CX2_34|CALCE_CS2_35|CALCE_CS2_36|CALCE_CX2_36|CALCE_CS2_36|CALCE_CS2_35|CALCE_CX2_35|CALCE_CX2_16|CALCE_CX2_35|CALCE_CX2_36|CALCE_CS2_36|CALCE_CX2_37|CALCE_CX2_34|CALCE_CS2_34|CALCE_CS2_35|CALCE_CS2_36|CALCE_CX2_37|CALCE_CX2_36|CALCE_CS2_35|CALCE_CX2_16|CALCE_CX2_16|CALCE_CS2_35|CALCE_CS2_36|CALCE_CX2_36|CALCE_CS2_36|CALCE_CX2_36|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_36|CALCE_CS2_34|CALCE_CS2_34|CALCE_CX2_34,552|233|517|648|470|488|579|391|1104|903|1079|132|674|478|753|218|286|640|283|144|361|958|558|251|1060|983|615|440|465|461|1013|622|583|607|251|577|313|551|623|458|1144|483|275|685|1065|233|203|203|368|1144|597|735|402|160|414|435|651|335|740|456|1203|157|402|802,1|1|1|0.75|0.25|0.25|0|0.25|0.5|1|1|0.5|0.25|1|0|0.25|0.25|0.5|1|1|0.25|1|0.75|0|0.75|1|0.75|0.5|1|0.75|0.25|0.25|0.75|0.25|0.75|1|0.75|0.75|0.25|1|0.5|0.5|0.25|1|0.5|0|0.75|0|0.25|1|0.25|0.25|1|0|0.25|1|0.25|0.25|0.25|0.75|0.5|0.5|0.25|0.5,8,128,128,128,0.1477539087091628,0.9836595471367229,-4.278895378112793,1.334779143333435,-0.23291015625,-0.08355712890625,0.6842026114463806,0.7618458867073059,0.5584577918052673,0.7922852635383606,0.5652701258659363,0.8548224568367004,0.5299072265625,65.9443359375,522.0,0.0001,,0.4579475801438093,,
9,2.0056512355804443,2.005347728729248,0.16856713593006134,0.0018,3.8297457695007324,False,1024.0,1024.0,64,0.006545481737703085,0.0011803284287452698,0.00013595400378108025,CALCE_CX2_37|CALCE_CX2_36|CALCE_CX2_35|CALCE_CS2_35|CALCE_CX2_34|CALCE_CX2_35|CALCE_CX2_16|CALCE_CS2_36|CALCE_CS2_35|CALCE_CS2_35|CALCE_CX2_16|CALCE_CX2_36|CALCE_CS2_36|CALCE_CX2_36|CALCE_CS2_36|CALCE_CX2_34|CALCE_CX2_36|CALCE_CS2_35|CALCE_CX2_36|CALCE_CS2_34|CALCE_CX2_34|CALCE_CX2_16|CALCE_CX2_37|CALCE_CS2_34|CALCE_CX2_35|CALCE_CX2_36|CALCE_CX2_16|CALCE_CX2_34|CALCE_CX2_36|CALCE_CX2_16|CALCE_CX2_34|CALCE_CX2_36|CALCE_CS2_36|CALCE_CX2_16|CALCE_CX2_16|CALCE_CX2_34|CALCE_CS2_34|CALCE_CX2_35|CALCE_CX2_16|CALCE_CX2_37|CALCE_CX2_16|CALCE_CX2_34|CALCE_CX2_16|CALCE_CX2_34|CALCE_CS2_36|CALCE_CX2_37|CALCE_CX2_37|CALCE_CS2_35|CALCE_CS2_35|CALCE_CX2_16|CALCE_CS2_35|CALCE_CS2_34|CALCE_CS2_35|CALCE_CS2_35|CALCE_CS2_36|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_34|CALCE_CX2_36|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_36|CALCE_CX2_34|CALCE_CS2_34,421|402|1126|303|428|608|684|648|618|262|701|350|597|415|278|361|811|616|621|243|858|525|763|169|977|744|356|411|696|273|558|619|438|753|553|723|435|914|311|709|716|564|947|442|239|679|284|268|456|374|338|302|405|157|170|220|240|755|566|771|588|1220|499|296,0.5|0|0.75|1|0.25|1|0|1|1|0.5|0.25|0|0|0|0.75|0|0|1|0.25|0.75|0|0|0.75|1|1|0.5|0.25|0.75|0|0|0.5|0.75|0.75|0.25|0.25|1|1|0.75|0.5|0.25|0.75|1|1|1|0.25|0.5|0|1|1|0.75|0.5|0.25|0|0.5|0|0|0.25|0.5|0.5|1|0.25|0|0|0.25,8,125,128,128,0.1477539087091628,0.9683771631214407,-4.278895378112793,1.2321475744247437,-0.26318359375,-0.0986328125,0.6838099360466003,0.7568171620368958,0.5600243806838989,0.7927525639533997,0.5648490786552429,0.8323032855987549,0.45745849609375,65.943359375,522.0,0.0001,,0.4763415823690593,,
10,2.003791570663452,2.0034587383270264,0.16636911034584045,0.002,3.6508753299713135,False,1024.0,1024.0,64,0.007098275702446699,0.0008470742031931877,0.00013643503189086914,CALCE_CX2_34|CALCE_CX2_34|CALCE_CX2_34|CALCE_CX2_35|CALCE_CS2_35|CALCE_CS2_36|CALCE_CS2_34|CALCE_CX2_34|CALCE_CX2_37|CALCE_CX2_34|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_36|CALCE_CS2_36|CALCE_CX2_37|CALCE_CS2_34|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_34|CALCE_CX2_16|CALCE_CX2_35|CALCE_CX2_37|CALCE_CS2_36|CALCE_CS2_34|CALCE_CS2_34|CALCE_CX2_36|CALCE_CS2_34|CALCE_CS2_35|CALCE_CS2_35|CALCE_CX2_34|CALCE_CS2_35|CALCE_CX2_16|CALCE_CS2_34|CALCE_CS2_36|CALCE_CX2_16|CALCE_CS2_36|CALCE_CX2_35|CALCE_CS2_35|CALCE_CX2_16|CALCE_CS2_36|CALCE_CS2_34|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_16|CALCE_CX2_35|CALCE_CS2_36|CALCE_CX2_35|CALCE_CX2_16|CALCE_CX2_37|CALCE_CX2_34|CALCE_CX2_36|CALCE_CX2_36|CALCE_CS2_36|CALCE_CX2_37|CALCE_CX2_37|CALCE_CS2_35|CALCE_CX2_16|CALCE_CX2_37|CALCE_CX2_35|CALCE_CX2_34|CALCE_CS2_34|CALCE_CX2_16|CALCE_CX2_35|CALCE_CX2_35,747|328|1010|555|491|385|258|555|305|1003|422|700|638|596|473|254|793|492|842|669|626|770|624|331|277|871|176|393|181|1024|450|305|240|320|656|216|852|489|647|589|248|251|943|589|432|652|831|393|266|621|682|786|589|619|796|553|499|798|912|1069|155|612|297|814,1|0.75|0.25|1|1|0|1|0.75|1|0.5|0.75|0.5|0|0.25|1|1|0.25|0.5|0.25|0.5|1|0.75|0.5|1|1|0.5|0.75|0.5|0.5|0.75|0|0.25|0.25|0.75|0.75|0|1|1|0.5|0.25|0|0|1|0.75|1|1|0.25|0.5|0.75|0.25|0.5|1|1|0.5|0.75|0|1|0.75|0.75|0|0.5|1|0.75|0,9,128,128,128,0.1477539087091628,0.969199035625302,-4.278895378112793,1.2376669645309448,-0.290283203125,-0.098388671875,0.6941747665405273,0.7600265145301819,0.5595018267631531,0.7870242595672607,0.5647438764572144,0.8507630228996277,0.58221435546875,65.9443359375,522.0,0.0001,,0.49432632932439446,,
